"member_casual","month","COUNT(month)"
casual,June,292068
casual,July,311678
casual,August,270095
casual,September,220915
casual,October,151324
casual,November,73556
casual,December,31505
casual,January,29621
casual,February,32776
casual,March,46792
casual,April,110538
casual,May,177039
member,June,328282
member,July,331002
member,August,335230
member,September,314230
member,October,262945
member,November,182238
member,December,103898
member,January,118663
member,February,116784
member,March,153655
member,April,213659
member,May,286188
