"start_station_name","member_casual","start_lat","start_lng","total_trips"
Streeter Dr & Grand Ave,casual,41.892277924856856,-87.61207073858031,52624
DuSable Lake Shore Dr & Monroe St,casual,41.88098515081087,-87.61675590555392,29958
Michigan Ave & Oak St,casual,41.90096932981172,-87.623760289312,23181
Millennium Park,casual,41.881078553049164,-87.62409403590665,23035
DuSable Lake Shore Dr & North Blvd,casual,41.91170007243591,-87.6268286008146,21484
Shedd Aquarium,casual,41.86723527584456,-87.61536962350819,18989
Theater on the Lake,casual,41.92626500371128,-87.63088985744116,16887
Wells St & Concord Ln,casual,41.91209250798989,-87.6347280024864,14386
Dusable Harbor,casual,41.886971409045024,-87.61282825523614,13345
Indiana Ave & Roosevelt Rd,casual,41.86790532317593,-87.62304036252108,12628
Clark St & Armitage Ave,casual,41.918308555135866,-87.63630870582598,12219
Clark St & Lincoln Ave,casual,41.91570848855124,-87.63460858318993,11844
Clark St & Elm St,casual,41.90291789256233,-87.63143393866056,11689
Montrose Harbor,casual,41.96397368894399,-87.63818566805644,11637
Wells St & Elm St,casual,41.903177466109994,-87.63444975247363,11056
Adler Planetarium,casual,41.866102895506735,-87.60729971949957,10870
Clark St & Newport St,casual,41.944523577809,-87.65471646556193,10695
Broadway & Barry Ave,casual,41.93762119080568,-87.64410150554356,10658
Michigan Ave & 8th St,casual,41.872708906476156,-87.62398787726607,10623
Wilton Ave & Belmont Ave,casual,41.94017886610941,-87.65298706291792,10411
Wabash Ave & Grand Ave,casual,41.891443725267244,-87.6267489014019,10311
Michigan Ave & Washington St,casual,41.883965515588145,-87.6245755917902,9857
LaSalle St & Illinois St,casual,41.89078922781344,-87.63168249112077,9853
New St & Illinois St,casual,41.89079209994,-87.61852949132611,9474
DuSable Lake Shore Dr & Diversey Pkwy,casual,41.93258417179288,-87.63643291192439,9416
Clark St & Wrightwood Ave,casual,41.92956651918887,-87.64314392346257,9369
Larrabee St & Webster Ave,casual,41.92183071263666,-87.64410760072347,9300
DuSable Lake Shore Dr & Belmont Ave,casual,41.940749767014836,-87.63918870458937,9152
Lakeview Ave & Fullerton Pkwy,casual,41.9258532129015,-87.63897242680848,9044
Michigan Ave & Lake St,casual,41.88598971634448,-87.62430596653552,9037
Sheffield Ave & Waveland Ave,casual,41.9493087739196,-87.65448750310244,8867
McClurg Ct & Ohio St,casual,41.89260275717209,-87.61730078868078,8740
Wells St & Huron St,casual,41.894745556563265,-87.63439315093885,8682
Wells St & Evergreen Ave,casual,41.906712184735575,-87.63496492672192,8568
Kingsbury St & Kinzie St,casual,41.889167477981786,-87.63852160625645,8491
Halsted St & Roscoe St,casual,41.94365539766295,-87.64895080341483,8460
Dearborn St & Erie St,casual,41.89403694557661,-87.62931883453479,8387
Sheffield Ave & Fullerton Ave,casual,41.925597803788875,-87.65370737542185,8287
Lincoln Ave & Fullerton Ave,casual,41.924166764070925,-87.6463756847647,8131
Clark St & Drummond Pl,casual,41.93125133985929,-87.64430220755074,8049
Damen Ave & Pierce Ave,casual,41.90939779871098,-87.6776980148641,8009
Wells St & Hubbard St,casual,41.889951114071394,-87.63428436813734,7945
Ashland Ave & Division St,casual,41.90340354994029,-87.66782599610202,7894
DuSable Lake Shore Dr & Wellington Ave,casual,41.93668114471089,-87.63683456249456,7886
Southport Ave & Roscoe St,casual,41.9437060003101,-87.66400861886723,7673
Wabash Ave & Roosevelt Rd,casual,41.867210764582914,-87.62599881810486,7660
Halsted St & Wrightwood Ave,casual,41.929150931584985,-87.64910481074064,7648
Broadway & Cornelia Ave,casual,41.945517449029765,-87.64647951852372,7509
Field Museum,casual,41.86532488828625,-87.6179369268189,7456
Michigan Ave & Jackson Blvd,casual,41.8778424090663,-87.62408702540036,7376
Broadway & Waveland Ave,casual,41.949044640031474,-87.64861231013563,7309
St. Clair St & Erie St,casual,41.89431835460431,-87.6227862880392,7305
Southport Ave & Waveland Ave,casual,41.948123968717226,-87.66398683385184,7109
Fairbanks Ct & Grand Ave,casual,41.89189368636879,-87.62063489886025,7062
State St & Chicago Ave,casual,41.89664230909485,-87.62861866958129,7037
Pine Grove Ave & Waveland Ave,casual,41.94941707881253,-87.64645847986904,7024
