"member_casual","start_hour","AVG(ride_length)"
casual,"00",20.280818567506955
casual,"01",21.685978495656105
casual,"02",20.851625837008047
casual,"03",19.763366849031463
casual,"04",17.96338870431894
casual,"05",15.383045825198165
casual,"06",14.877293091655257
casual,"07",14.60756784218486
casual,"08",16.676592456736078
casual,"09",22.500280456988165
casual,"10",26.705598792862563
casual,"11",27.263957858465393
casual,"12",26.796891001728603
casual,"13",26.666940901193556
casual,"14",26.580562701627933
casual,"15",24.912483073659843
casual,"16",22.781696859235083
casual,"17",21.265566298828457
casual,"18",21.466380677187352
casual,"19",21.05800135803979
casual,"20",20.95616317354213
casual,"21",19.74172568923756
casual,"22",19.3370935471802
casual,"23",19.91670825057478
member,"00",11.772522962673477
member,"01",11.929410449667902
member,"02",12.178454847201584
member,"03",12.085512528473815
member,"04",12.369858947023095
member,"05",10.163438771593032
member,"06",10.52303809558789
member,"07",11.116405580389772
member,"08",10.980820339321047
member,"09",11.216652449538959
member,"10",11.972077688515615
member,"11",12.195457516843764
member,"12",12.064785928935283
member,"13",12.221512140011066
member,"14",12.587835643870399
member,"15",12.487557762796285
member,"16",12.669649277073143
member,"17",12.99219999999986
member,"18",12.895843719462809
member,"19",12.691485567942273
member,"20",12.502677537269864
member,"21",12.120660418851774
member,"22",12.158962737944318
member,"23",12.176660456789026
