Start Station Name,Ride Count,Latitude,Longitude
Kingsbury St & Kinzie St,23450,41.8891693038171,-87.6380804234034
Clark St & Elm St,21887,41.9032952603338,-87.6313898452422
Clinton St & Washington Blvd,21830,41.8833749880366,-87.6412647182549
Wells St & Concord Ln,20801,41.9121117212792,-87.6347979470891
Loomis St & Lexington St,20060,41.8727201967322,-87.6617777182553
University Ave & 57th St,19648,41.7915906517193,-87.5980952605877
Clinton St & Madison St,18981,41.8820445797268,-87.6412040605843
Ellis Ave & 60th St,18665,41.7860840676752,-87.6012146894232
Wells St & Elm St,18174,41.9030262905644,-87.6344179164068
Broadway & Barry Ave,17298,41.9380935306141,-87.6443469317469
