"start_station_name","start_lat","start_lng","total_trips"
Streeter Dr & Grand Ave,41.89228159665137,-87.61207563950092,69097
DuSable Lake Shore Dr & Monroe St,41.880991416027946,-87.61676813812875,38895
Michigan Ave & Oak St,41.9009691749168,-87.62376654346181,37093
DuSable Lake Shore Dr & North Blvd,41.911710582260845,-87.6268273943826,36864
Wells St & Concord Ln,41.912097726062505,-87.63472339411017,34321
Clark St & Elm St,41.902920021373355,-87.63140328681502,33250
Millennium Park,41.881078509755774,-87.62409881029141,32116
Kingsbury St & Kinzie St,41.88917380756027,-87.63850971943168,32093
Theater on the Lake,41.92626372835128,-87.63088015325046,30927
Wells St & Elm St,41.90317766991142,-87.63444011538166,29099
Broadway & Barry Ave,41.9376116645103,-87.64410479167087,27432
Clinton St & Washington Blvd,41.883378035524835,-87.64124854683855,26866
Clark St & Armitage Ave,41.91830716217382,-87.63630700412513,26698
Indiana Ave & Roosevelt Rd,41.86790561784958,-87.62304381600781,26057
Clinton St & Madison St,41.882456429057356,-87.64115440191782,25147
Wabash Ave & Grand Ave,41.8914461833209,-87.62675668358992,25131
Wilton Ave & Belmont Ave,41.940174837467254,-87.65298048832773,25078
Clark St & Lincoln Ave,41.91570436056229,-87.6346119830704,24880
University Ave & 57th St,41.79147947319202,-87.59987706772394,24760
Clark St & Wrightwood Ave,41.929562436026174,-87.64314248525115,24209
Wells St & Huron St,41.89474117433939,-87.63439486184332,24120
Ellis Ave & 60th St,41.785103566191594,-87.60107801157795,23945
Dearborn St & Erie St,41.8940337034646,-87.62931865256166,23882
Shedd Aquarium,41.86724506208368,-87.61538464378127,23621
St. Clair St & Erie St,41.89432862823632,-87.62279586603121,23169
Canal St & Adams St,41.87931390276356,-87.63995266002816,22855
Wells St & Hubbard St,41.88994415783128,-87.63428863776991,22788
Loomis St & Lexington St,41.8722075040689,-87.6614328469806,22719
LaSalle St & Illinois St,41.89078976780069,-87.63169641926838,22614
Sheffield Ave & Fullerton Ave,41.9255920096225,-87.65371135654108,22346
Michigan Ave & Washington St,41.88396753236006,-87.62458833191883,22269
State St & Chicago Ave,41.89663325143145,-87.62862221967742,22099
Clark St & Newport St,41.9445186808883,-87.65471392011291,21703
Michigan Ave & Lake St,41.8859917601333,-87.62430597514604,21316
Clark St & Drummond Pl,41.9312461131843,-87.64430715427876,21238
Ashland Ave & Division St,41.90339924388073,-87.66781032777133,21203
DuSable Lake Shore Dr & Diversey Pkwy,41.93257903712571,-87.63643008145944,20941
Larrabee St & Webster Ave,41.92182363851723,-87.64410887296005,20926
Broadway & Waveland Ave,41.94905746794675,-87.64862146072063,20906
Green St & Madison St,41.88187465673482,-87.6489499413436,20891
Lincoln Ave & Fullerton Ave,41.9241641548371,-87.646377289633,20765
Dearborn Pkwy & Delaware Pl,41.89895323625217,-87.62991586221362,20503
Wabash Ave & Roosevelt Rd,41.86721342499204,-87.62599163888859,20354
Halsted St & Clybourn Ave,41.9096413975839,-87.64814160457827,20293
McClurg Ct & Ohio St,41.892608519336065,-87.61732248509973,20242
Lakeview Ave & Fullerton Pkwy,41.92585986432179,-87.63896929116034,20172
New St & Illinois St,41.890800825624,-87.6185332166499,19953
Damen Ave & Pierce Ave,41.90939873166539,-87.67769214757465,19905
Broadway & Cornelia Ave,41.94552030293609,-87.64646132183931,19799
Halsted St & Roscoe St,41.94365976931066,-87.64894322194603,19757
Desplaines St & Kinzie St,41.88865596376922,-87.64443493828095,19752
Sheffield Ave & Waveland Ave,41.94932004866706,-87.65449646906707,19405
Clinton St & Jackson Blvd,41.8783442972288,-87.64109302062295,19135
Montrose Harbor,41.96397435773336,-87.63818502953805,19134
